District,long,lat,Proportion of OOP
Bagerhat,89.74523427,22.41314671,0.64556962
Bandarban,92.36299271,21.80846559,0.9
Barguna,90.20228108,22.07348838,0.536363636
Barisal,90.33188951,22.86177344,0.604651163
Bhola,90.71766046,22.36167776,0.806451613
Bogra,89.37879174,24.82445817,0.5
Brahamanbaria,91.0832541,23.95324875,0.798882682
Chandpur,90.76544896,23.27877243,0.631578947
Chittagong,91.86518178,22.43509029,0.460526316
Chuadanga,88.84821477,23.60863552,0.565789474
Comilla,91.03391204,23.43687525,0.621052632
Cox'S Bazar,92.07585257,21.46601851,0.704918033
Dhaka,90.25077017,23.78696793,0.722222222
Dinajpur,88.7870009,25.63022873,0.333333333
Faridpur,89.83887939,23.47894204,0.5
Feni,91.41204356,22.99526043,0.546511628
Gaibandha,89.50584504,25.29872219,0.682242991
Gazipur,90.44499793,24.09842443,0.857142857
Gopalganj,89.89951154,23.10553285,0.473684211
Habiganj,91.43027717,24.36837346,0.588235294
Jamalpur,89.8462506,24.97300679,0.658536585
Jessore,89.17534907,23.08981915,0.705882353
Jhalokati,90.18392051,22.57475119,0.75
Jhenaidah,89.08789323,23.4894354,0.639097744
Joypurhat,89.08296332,25.09271769,0.46875
Khagrachhari,91.95331259,23.16131595,0.621212121
Khulna,89.45635561,22.58107643,0.483870968
Kishoreganj,90.942405,24.37618612,0.384615385
Kurigram,89.69527057,25.78856944,0.490909091
Kushtia,89.02221251,23.9228478,0.818181818
Lakshmipur,90.85967301,22.8965914,0.554216867
Lalmonirhat,89.24424353,26.0533943,0.818181818
Madaripur,90.16509692,23.21804219,0.421052632
Magura,89.43371225,23.44317954,0.583333333
Manikganj,89.94959574,23.84392593,0.7
Maulvibazar,91.91519754,24.48071331,0.353846154
Meherpur,88.70771743,23.79407882,0.670212766
Munshiganj,90.41728491,23.52574837,0.6
Mymensingh,90.42856437,24.6987397,0.368421053
Naogaon,88.75197056,24.89933861,0.52173913
Narail,89.58017594,23.1300995,0.672413793
Narayanganj,90.57800728,23.72321775,0.5
Narsingdi,90.77323168,24.00229084,0.510204082
Natore,89.08685865,24.38036742,0.681818182
Nawabganj,88.26470009,24.71554652,0.466666667
Netrakona,90.84477912,24.87016454,0.643835616
Nilphamari,88.92965549,26.02414062,0.791666667
Noakhali,91.12289299,22.82536162,0.523255814
Pabna,89.38533219,24.05317168,0.596774194
Panchagarh,88.57596034,26.28457066,0.555555556
Patuakhali,90.42244299,22.2980198,0.763636364
Pirojpur,89.99640505,22.54139835,0.659793814
Rajbari,89.56152667,23.72765515,0.5
Rajshahi,88.65164086,24.46586369,0.647058824
Rangamati,92.27935178,22.82958232,0.61971831
Rangpur,89.23681352,25.64975845,0.723684211
Satkhira,89.11612737,22.53685018,0.755813953
Shariatpur,90.41353203,23.24698324,0.546511628
Sherpur,90.07450046,25.08222565,0.413043478
Sirajganj,89.59968045,24.39162991,0.52
Sunamganj,91.34586471,24.938077,0.625
Sylhet,91.98672002,24.91916535,0.460674157
Tangail,89.99860551,24.35630363,0.541666667
Thakurgaon,88.34647077,25.99055647,0.722222222
